Titolo,Piattaforma,Genere,Data di uscita,Produttore,Sviluppatore,Età consigliata,Link
Etherlords II,PC,Strategia a turni,19 marzo 2004,Strategy First,Nival Interactive,16+,
Temtem,PC,Gioco di ruolo,21 gennaio 2020,Humble Bundle,Crema,12+,https://store.steampowered.com/app/745920/Temtem/
SWAT 4,PC,Sparatutto in 1a persona,5 aprile 2005,Sierra,Irrational Games,18+,
Forgotten Journey,PC,Avventura,8 luglio 2021,DigiPen Institute of Technology,DigiPen Europe-Bilbao,,https://store.steampowered.com/app/1667730/Forgotten_Journey/
Arruyo,PC,Azione/Avventura,11 giugno 2022,DigiPen Institute of Technology,DigiPen Europe-Bilbao,,https://store.steampowered.com/app/1991570/Arruyo/
Arclight Beat,PC,Musicale,26 maggio 2022,DigiPen Institute of Technology,DigiPen Europe-Bilbao,,https://store.steampowered.com/app/1987120/Arclight_Beat/
Lost Ark,PC,MMORPG,11 febbraio 2022,Amazon Games,Smilegate RPG,18+,https://store.steampowered.com/app/1599340/Lost_Ark/
Path of Exile,PC,Gioco di ruolo,23 ottobre 2013,Grinding Gear Games,Grinding Gear Games,,https://store.steampowered.com/app/238960/Path_of_Exile/
Halo Infinite,PC,Sparatutto in 1a persona,8 dicembre 2021,Xbox Game Studios,343 Industries,16+,https://store.steampowered.com/app/1240440/Halo_Infinite/
Cry of Fear,PC,Azione/Avventura,24 aprile 2013,,Team Psykskallar,,http://store.steampowered.com/app/223710/
Brawlhalla,PC,Picchiaduro,17 ottobre 2017,Ubisoft,Blue Mammoth Games,7+,https://store.steampowered.com/app/291550/Brawlhalla/
Destiny 2,PC,Sparatutto in 1a persona,24 ottobre 2017,Bungie,Bungie,16+,https://store.steampowered.com/app/1085660/Destiny_2/
